date,total_pnl,median_pnl,pnl_std,win_rate,trade_count,avg_size_usd,total_volume,long_count,short_count,unique_traders,avg_fee,long_short_ratio,avg_pnl_per_trade,rolling_pnl_7d,value,classification,sentiment_binary,month
2024-01-11,-164.08950099999998,0.0,101.92627878710132,0.23809523809523808,21,14538.766666666666,305314.1,13,8,2,3.6127224285714283,1.624999999796875,-7.813785761904761,-473.3375930000001,76,Extreme Greed,Greed,Jan
2024-01-12,-1925.519024,0.0,669.9280140108323,0.0,7,28583.181428571428,200082.27,5,2,1,7.068675285714285,2.49999999875,-275.0741462857143,-771.8605342857144,71,Greed,Greed,Jan
2024-01-15,152.85358,2.4946450000000002,33.645786328134285,0.6428571428571429,14,3616.8642857142854,50636.1,5,9,2,0.9037651428571428,0.5555555554938272,10.918112857142857,-769.3931177142857,52,Neutral,Neutral,Jan
2024-01-16,-2299.171458,0.0,883.8757688873994,0.3333333333333333,9,12936.37,116427.33,4,5,2,1.9243676666666667,0.79999999984,-255.4634953333333,-978.4631495714285,64,Greed,Greed,Jan
2024-01-17,813.2741110000001,0.0,75.6265391448607,0.20754716981132076,53,15110.019433962265,800831.03,31,22,1,3.0133510566037733,1.4090909090268595,15.344794547169812,-823.7276424285714,60,Greed,Greed,Jan
2024-01-18,68.93319,0.0,39.503091785872144,0.06521739130434782,46,9231.120217391304,424631.52999999997,18,28,1,2.014302195652174,0.6428571428341837,1.4985476086956522,-695.8300634285714,63,Greed,Greed,Jan
2024-01-19,-385.419235,0.0,51.79852685525565,0.125,48,8925.603541666665,428428.97,32,16,2,1.9385805833333334,1.999999999875,-8.029567395833334,-534.1626195714285,51,Neutral,Neutral,Jan
2024-01-20,-146.57487000000003,0.0,38.554282761934644,0.14150943396226415,106,10095.193490566038,1070090.51,60,46,1,2.5237979528301886,1.3043478260586012,-1.3827817924528305,-531.6605294285714,52,Neutral,Neutral,Jan
2024-01-21,266.58114600000005,0.0,65.56080670770307,0.2727272727272727,11,9375.43090909091,103129.74,3,8,1,2.343857272727273,0.374999999953125,24.234649636363642,-218.50336228571427,56,Greed,Greed,Jan
2024-01-22,1375.640959,0.0,80.41613478472654,0.27058823529411763,85,3975.0469411764707,337878.99,51,34,2,0.7938619764705882,1.4999999999558824,16.18401128235294,-43.81945099999997,55,Greed,Greed,Jan
2024-01-23,-369.2447299999998,0.0,613.9643726523253,0.24444444444444444,45,9211.531777777778,414518.93000000005,33,12,1,1.9049904444444445,2.7499999997708335,-8.20543844444444,231.8843672857143,50,Neutral,Neutral,Jan
2024-01-24,-2808.353815,0.0,149.8053621490879,0.14705882352941177,68,14192.42044117647,965084.59,27,41,1,3.3495749264705883,0.6585365853497919,-41.29932080882353,-285.49105071428573,48,Neutral,Neutral,Jan
2024-01-25,-3093.6293849999997,-481.44219250000003,356.6379016697523,0.0,6,11094.355000000001,66566.13,0,6,1,2.773588666666667,0.0,-515.6048975,-737.2857042857142,52,Neutral,Neutral,Jan
2024-01-26,90.2,0.0,40.33866631409621,0.2,5,2354.642,11773.21,4,1,2,0.088847,3.9999999959999997,18.04,-669.3400992857142,49,Neutral,Neutral,Jan
2024-01-28,-2478.06972,-68.216526,262.6842407250483,0.0,11,1646.2754545454545,18109.03,0,11,1,-0.03292509090909091,0.0,-225.27906545454545,-1002.410792142857,54,Neutral,Neutral,Jan
2024-01-29,486.562542,0.0479375,28.607026832226527,0.6081081081081081,74,5597.407837837838,414208.18,21,53,2,1.395440608108108,0.3962264150868637,6.5751694864864865,-970.9848784285714,55,Greed,Greed,Jan
2024-01-30,-173.65419100000003,0.0,55.423048103905174,0.10204081632653061,49,8183.905714285715,401011.38,28,21,1,2.045975714285714,1.3333333332698412,-3.5439630816326537,-1192.312757,61,Greed,Greed,Jan
2024-01-31,-799.840817,0.0,21.84950915114784,0.26869158878504673,859,7340.683504074505,6305647.13,470,389,1,1.8037386204889407,1.2082262210765855,-0.93113017112922,-1253.8264837142856,60,Greed,Greed,Jan
2024-02-01,0.0,0.0,0.0,0.0,6,334.69666666666666,2008.18,6,0,1,0.08367399999999998,6000000000.0,0.0,-852.6330815714285,63,Greed,Greed,Feb
